Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
70 - 79,Parent,,3 - 5 years,Yes,40,0,"In their home or apartment, alone",,All the care they receive is free or donated,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Below average,Agree,Neutral,Neutral,Agree,Strongly agree,0,Retired,,,,,,,,,,,,
70 - 79,Spouse/Partner,,3 - 5 years,Yes,15,20,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,Support groups,,,Support from my loved one鈥檚 physicians,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,,,Neutral,Agree,Agree,Disagree,Neutral,Agree,Good,Agree,Agree,Disagree,Neutral,Agree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,20,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Average,Neutral,Disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
90+,Other family member,,3 - 5 years,No,12,0,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Good,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,30,18,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,"Classes about giving care, such as giving medications",Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,Trauma,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Average,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,18,Part-time employed,,,,,,,,,,,,
90+,Other family member,,3 - 5 years,Yes,25,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,Medical insurance,Long-term care insurance,,No,,"Classes about giving care, such as giving medications",,,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,Support groups,,,,,,,,,Emotional stress,,,,,,,,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Excellent,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,10,50,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,,,,Financial strain,Loss of sleep,,Depression,,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Average,Disagree,Disagree,Agree,Strongly disagree,Disagree,50,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,10,48,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,Support groups,Individual counseling to help cope with giving care,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Below average,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,48,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,1,0,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,20,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,Financial support,,,,,,Help in getting access to services,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,,,,,Physical demands,Emotional stress,,,,Loss of sleep,,,,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Average,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,Over 5 years,Yes,25,40,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,,Financial strain,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Below average,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,1 - 2 years,Yes,15,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,21,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Average,Neutral,Neutral,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
90+,Parent,,Less than a year,No,6,26,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,26,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,20,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,"Classes about giving care, such as giving medications",,Support groups,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Average,Strongly agree,Agree,Agree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Friend/Neighbor,,3 - 5 years,Yes,10,30,"In their home or apartment, alone",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Average,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,30,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,20,40,"They live with me, or another caregiver",,All the care they receive is free or donated,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,Support groups,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Below average,Disagree,Strongly disagree,Disagree,Agree,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,5,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,,,,,,,,,Agree,Agree,Disagree,Agree,Agree,Disagree,Below average,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,21,35,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,I am the sole family member providing financial assistance. ,No,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,I have a very understanding husband,,Accommodation from my employer,,,Support groups,,,,,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Disagree,Disagree,Neutral,Strongly agree,Average,Neutral,Disagree,Disagree,Disagree,Disagree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,Yes,100,10,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,,,,,,Financial strain,Loss of sleep,,,,Neutral,Agree,Disagree,Agree,Agree,Agree,Below average,Disagree,Disagree,Agree,Agree,Agree,10,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,5,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,,,,Sibling helps out,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Strongly disagree,Agree,Disagree,Disagree,Neutral,Neutral,Good,Disagree,Disagree,Disagree,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,15,20,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Below average,Agree,Agree,Strongly agree,Disagree,Neutral,20,Part-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,Over 5 years,Yes,40,30,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly disagree,,Strongly disagree,Strongly disagree,Agree,Average,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,30,Part-time employed,,,,,,,,,,,,
50 - 59,Other family member,,3 - 5 years,Yes,60,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Below average,Neutral,Agree,Neutral,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Less than a year,Yes,21,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Good,Agree,Agree,Disagree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
